time_ns,user_read,user_write,erase,refresh,active_planes
51,0,0,0,0,512
2051,0,0,0,0,0
5051,0,0,0,0,16
7051,0,0,0,0,0
10117,0,0,0,0,0
10201,0,0,0,0,1
15051,1,0,0,0,16
17051,1,0,0,0,1
60201,0,0,0,0,1
62201,0,0,0,0,0
