time_ns,user_read,user_write,erase,refresh,active_planes
51,0,0,0,0,512
2051,0,0,0,0,0
5051,0,0,0,0,16
7051,0,0,0,0,0
10112,0,0,0,0,0
10196,0,0,0,0,1
15051,0,0,0,0,17
17051,0,0,0,0,1
60196,0,0,0,0,0
