op,samples,host_command_wait_ns,host_command_service_ns,host_data_wait_ns,host_data_service_ns,nand_queue_wait_ns,nand_command_wait_ns,array_service_ns,fabric_wait_ns,fabric_service_ns
READ,544,0,51,0,61,0,0,2000,1204.56,84
WRITE,1,0,51,0,61,0,0,50000,0,84
